Year,Reg,Verb,Neg,Permitter,Imper
2003,MAG,allow,No,Inanim,No
2005,SPOK,allow,No,Inanim,No
1990,SPOK,let,No,Anim,No
2007,SPOK,allow,No,Inanim,No
1997,MAG,permit,No,Anim,Yes
1996,MAG,allow,No,Anim,No
1995,MAG,allow,No,Inanim,No
2007,SPOK,let,No,Anim,Yes
2005,MAG,permit,No,Anim,No
1992,SPOK,allow,No,Inanim,No
2007,MAG,let,No,Anim,No
2005,MAG,let,Yes,Anim,No
2006,MAG,allow,No,Undef,No
2006,MAG,permit,No,Inanim,No
2007,SPOK,allow,No,Undef,No
1999,SPOK,let,No,Anim,Yes
2012,SPOK,allow,No,Anim,No
1994,MAG,let,No,Anim,Yes
2011,SPOK,allow,No,Inanim,No
2008,MAG,let,Yes,Anim,No
1997,MAG,permit,No,Inanim,No
1997,MAG,let,No,Anim,No
2006,SPOK,allow,No,Anim,No
1998,SPOK,permit,Yes,Anim,No
1999,MAG,allow,No,Anim,No
1996,SPOK,let,No,Anim,Yes
2006,MAG,allow,No,Inanim,No
1990,SPOK,let,No,Anim,Yes
2005,SPOK,allow,No,Inanim,No
1990,SPOK,let,No,Anim,Yes
2006,MAG,allow,No,Inanim,No
1995,SPOK,permit,No,Anim,No
2011,SPOK,permit,No,Anim,No
2005,MAG,allow,No,Undef,No
2011,MAG,allow,No,Anim,No
1996,SPOK,permit,No,Anim,Yes
2003,MAG,permit,Yes,Anim,No
1999,MAG,allow,Yes,Anim,No
2010,SPOK,let,No,Anim,Yes
2008,SPOK,let,No,Anim,Yes
1996,SPOK,let,No,Anim,Yes
2001,MAG,permit,No,Inanim,No
2005,MAG,allow,No,Anim,No
2004,SPOK,allow,No,Anim,No
1996,MAG,let,No,Inanim,No
2008,MAG,permit,No,Inanim,No
2010,SPOK,allow,No,Anim,No
1998,MAG,let,Yes,Anim,No
1992,MAG,permit,No,Inanim,No
1991,MAG,let,Yes,Anim,No
2008,MAG,allow,No,Inanim,No
1992,SPOK,let,No,Anim,Yes
1996,MAG,allow,No,Anim,No
2005,MAG,let,No,Anim,No
2009,SPOK,allow,No,Inanim,No
2001,MAG,allow,No,Anim,No
2006,MAG,allow,No,Undef,No
2000,SPOK,permit,No,Anim,No
1993,MAG,permit,No,Anim,Yes
1997,SPOK,permit,No,Anim,No
1993,SPOK,permit,No,Inanim,No
2007,MAG,permit,No,Inanim,No
2006,SPOK,permit,No,Inanim,No
1997,SPOK,let,No,Anim,Yes
2002,SPOK,allow,No,Inanim,No
2006,MAG,permit,No,Inanim,No
2005,MAG,allow,No,Anim,Yes
1995,MAG,permit,No,Inanim,No
2011,MAG,allow,No,Inanim,No
1998,SPOK,let,No,Anim,Yes
2003,SPOK,let,No,Anim,Yes
1994,SPOK,let,No,Anim,Yes
2001,SPOK,allow,No,Inanim,No
1991,SPOK,permit,Yes,Inanim,No
1992,SPOK,permit,No,Anim,No
2011,SPOK,allow,No,Inanim,No
2009,MAG,allow,No,Inanim,No
1993,MAG,permit,No,Inanim,No
2004,MAG,let,No,Anim,Yes
1998,MAG,permit,Yes,Inanim,No
1996,MAG,permit,No,Inanim,No
1995,MAG,permit,No,Anim,No
2006,MAG,allow,No,Inanim,No
2006,MAG,let,No,Anim,Yes
1991,MAG,permit,No,Inanim,No
1995,MAG,permit,No,Anim,No
2001,SPOK,allow,No,Inanim,No
1998,MAG,permit,No,Undef,No
1999,SPOK,let,No,Anim,Yes
2000,SPOK,let,No,Anim,Yes
2010,MAG,permit,No,Anim,No
1998,MAG,allow,No,Anim,No
2000,MAG,permit,No,Anim,No
2004,SPOK,let,No,Anim,Yes
1994,SPOK,permit,No,Anim,No
1991,MAG,permit,No,Inanim,No
1996,MAG,allow,No,Anim,No
1996,MAG,permit,No,Inanim,No
1995,MAG,permit,No,Anim,No
1998,MAG,allow,No,Inanim,No
1997,MAG,permit,No,Anim,No
2000,MAG,permit,No,Anim,No
2006,SPOK,let,No,Anim,No
1993,SPOK,permit,No,Inanim,No
1997,SPOK,permit,No,Anim,No
2004,MAG,permit,No,Undef,No
2009,MAG,let,No,Anim,No
2005,SPOK,allow,No,Anim,No
1997,MAG,allow,No,Anim,No
1995,MAG,let,No,Anim,Yes
1998,MAG,allow,Yes,Anim,Yes
1997,MAG,let,No,Anim,No
2009,MAG,allow,No,Inanim,No
2012,SPOK,let,No,Anim,Yes
2006,SPOK,let,No,Anim,No
2006,SPOK,let,Yes,Anim,Yes
2011,MAG,let,No,Anim,Yes
2003,SPOK,permit,No,Undef,No
2003,MAG,let,No,Undef,No
1991,MAG,let,No,Anim,Yes
2002,SPOK,let,Yes,Anim,Yes
2001,SPOK,let,Yes,Anim,No
1992,SPOK,let,No,Anim,Yes
2008,MAG,allow,No,Inanim,No
1997,SPOK,allow,Yes,Anim,No
2005,SPOK,let,Yes,Anim,No
2003,MAG,let,No,Undef,No
2010,MAG,allow,No,Inanim,No
2003,MAG,let,No,Anim,No
1998,MAG,allow,No,Inanim,No
2005,MAG,let,No,Anim,Yes
2002,MAG,let,No,Inanim,No
2002,MAG,allow,No,Undef,No
2002,MAG,let,No,Anim,Yes
1991,MAG,allow,No,Inanim,No
1997,MAG,let,No,Inanim,No
2004,MAG,allow,No,Anim,No
2008,SPOK,let,No,Anim,Yes
1999,SPOK,let,No,Anim,No
1997,MAG,let,Yes,Anim,Yes
2000,SPOK,allow,No,Inanim,No
1994,MAG,allow,No,Inanim,No
1998,MAG,allow,No,Undef,No
2002,MAG,allow,No,Inanim,No
1994,MAG,permit,No,Anim,No
2006,MAG,permit,No,Inanim,No
2009,MAG,allow,No,Inanim,No
1994,MAG,let,No,Anim,No
2009,MAG,permit,No,Anim,No
1993,SPOK,permit,No,Anim,No
1996,MAG,let,No,Anim,Yes
2005,SPOK,let,No,Anim,Yes
2012,MAG,allow,No,Inanim,No
2012,SPOK,allow,No,Anim,No
2001,SPOK,let,No,Anim,No
2003,SPOK,let,No,Anim,No
2012,MAG,allow,No,Inanim,No
2000,MAG,allow,No,Undef,No
2002,SPOK,permit,No,Anim,No
2010,MAG,permit,No,Inanim,No
1990,SPOK,permit,No,Anim,No
2002,MAG,permit,No,Anim,No
1991,SPOK,permit,No,Inanim,No
2009,SPOK,allow,No,Inanim,No
2005,MAG,let,No,Anim,No
2002,SPOK,permit,No,Anim,No
1995,SPOK,let,No,Anim,Yes
2007,SPOK,allow,Yes,Anim,No
1996,MAG,permit,No,Inanim,No
1993,MAG,let,No,Anim,Yes
2011,MAG,allow,No,Inanim,No
1998,MAG,permit,No,Inanim,No
2011,SPOK,let,No,Anim,No
2006,SPOK,let,No,Anim,Yes
1998,SPOK,allow,No,Anim,No
1993,SPOK,permit,Yes,Anim,No
2002,MAG,permit,No,Inanim,No
2001,MAG,allow,No,Undef,No
2003,SPOK,permit,No,Inanim,No
2008,SPOK,permit,No,Anim,No
2005,MAG,let,Yes,Anim,No
1990,SPOK,let,No,Anim,Yes
2010,SPOK,let,No,Anim,No
2011,MAG,permit,No,Inanim,No
2006,SPOK,allow,Yes,Anim,No
2004,MAG,allow,No,Anim,No
2003,SPOK,let,No,Anim,Yes
2006,SPOK,let,No,Anim,Yes
1990,MAG,permit,Yes,Anim,No
1998,MAG,allow,No,Inanim,No
1996,MAG,permit,Yes,Inanim,No
2010,MAG,allow,No,Inanim,No
2000,SPOK,let,No,Anim,Yes
2000,SPOK,allow,No,Anim,No
2009,SPOK,let,No,Anim,Yes
2001,SPOK,let,No,Anim,Yes
2003,SPOK,let,No,Anim,Yes
2004,SPOK,let,No,Anim,Yes
2012,SPOK,allow,No,Inanim,No
2002,SPOK,let,No,Anim,Yes
1999,MAG,allow,No,Inanim,No
2011,SPOK,let,No,Anim,No
2010,SPOK,let,Yes,Anim,Yes
2001,MAG,let,No,Anim,No
2010,SPOK,let,No,Anim,No
2002,MAG,permit,No,Inanim,No
2008,MAG,allow,No,Inanim,No
2000,MAG,permit,No,Inanim,No
1991,MAG,permit,No,Inanim,No
1991,MAG,permit,No,Inanim,No
1998,SPOK,let,Yes,Anim,No
2000,MAG,allow,No,Inanim,No
1993,MAG,permit,No,Anim,No
2004,MAG,allow,No,Anim,Yes
2009,SPOK,let,No,Anim,No
1999,MAG,allow,No,Anim,No
2007,SPOK,let,No,Anim,Yes
2010,MAG,let,No,Anim,No
1991,SPOK,permit,No,Anim,No
2000,MAG,allow,No,Inanim,No
1993,SPOK,permit,Yes,Anim,No
2003,MAG,allow,No,Anim,No
1994,MAG,permit,No,Anim,No
2008,MAG,allow,No,Anim,No
2011,SPOK,let,No,Anim,No
2006,SPOK,let,No,Anim,Yes
1998,MAG,allow,No,Anim,No
2004,SPOK,permit,Yes,Anim,No
2006,SPOK,let,No,Anim,No
1993,SPOK,permit,Yes,Inanim,No
1996,MAG,permit,No,Undef,No
2007,MAG,allow,No,Undef,No
2008,MAG,allow,No,Inanim,No
1992,SPOK,permit,No,Undef,No
2011,SPOK,let,No,Anim,No
1990,SPOK,permit,No,Undef,No
2010,SPOK,permit,No,Inanim,No
1996,SPOK,let,No,Anim,No
1991,SPOK,permit,No,Inanim,No
2010,SPOK,allow,Yes,Anim,No
2005,SPOK,allow,No,Inanim,No
1994,SPOK,let,Yes,Anim,No
1993,MAG,let,No,Anim,No
2008,SPOK,let,No,Anim,Yes
2004,MAG,let,Yes,Anim,No
2002,SPOK,let,No,Anim,Yes
2005,SPOK,allow,No,Anim,No
2002,SPOK,let,No,Anim,Yes
1998,MAG,allow,No,Inanim,No
2009,MAG,allow,No,Anim,No
1995,SPOK,let,No,Anim,Yes
1998,SPOK,let,No,Anim,No
1994,MAG,allow,Yes,Anim,No
1998,MAG,allow,No,Anim,No
2007,SPOK,let,No,Anim,Yes
2010,MAG,permit,No,Anim,No
2001,SPOK,allow,No,Inanim,No
1994,MAG,let,No,Inanim,No
1999,MAG,permit,No,Anim,No
1993,MAG,permit,No,Inanim,No
2000,MAG,permit,Yes,Inanim,No
2010,MAG,let,No,Anim,Yes
2010,MAG,allow,No,Inanim,No
1993,MAG,permit,No,Inanim,No
2004,SPOK,let,No,Anim,Yes
2005,MAG,allow,No,Inanim,No
2001,MAG,let,Yes,Anim,No
1999,SPOK,let,Yes,Anim,No
1992,SPOK,permit,No,Anim,No
1992,SPOK,let,No,Anim,Yes
1992,MAG,permit,No,Inanim,No
1990,MAG,allow,No,Anim,No
2011,SPOK,allow,Yes,Anim,No
1996,SPOK,let,No,Anim,Yes
2009,MAG,allow,No,Inanim,No
1990,MAG,permit,No,Undef,No
2001,MAG,let,Yes,Anim,No
2004,SPOK,allow,No,Inanim,No
2006,MAG,permit,Yes,Anim,No
1998,MAG,permit,Yes,Inanim,No
1999,MAG,allow,No,Anim,No
2007,MAG,let,No,Anim,No
1994,MAG,permit,No,Inanim,No
1993,MAG,permit,No,Inanim,No
1995,SPOK,permit,No,Inanim,No
1991,SPOK,permit,No,Anim,No
2000,MAG,let,No,Anim,No
2001,SPOK,allow,No,Anim,No
2004,SPOK,let,No,Anim,Yes
1990,MAG,permit,No,Anim,No
2003,MAG,permit,No,Inanim,No
1998,SPOK,allow,No,Inanim,No
2001,MAG,allow,No,Undef,No
2007,MAG,permit,No,Anim,No
2012,MAG,let,Yes,Anim,Yes
2003,SPOK,let,No,Anim,No
2002,SPOK,permit,No,Inanim,No
2002,MAG,allow,No,Anim,No
2003,MAG,allow,No,Inanim,No
2000,MAG,allow,No,Inanim,No
1999,SPOK,let,No,Anim,Yes
1997,MAG,permit,No,Inanim,No
2000,MAG,let,No,Inanim,No
2000,MAG,permit,No,Undef,No
2000,SPOK,permit,No,Undef,No
1994,MAG,permit,No,Inanim,No
2001,SPOK,allow,No,Inanim,No
1997,MAG,permit,No,Inanim,No
2000,MAG,allow,No,Anim,No
1995,MAG,permit,No,Inanim,No
2010,MAG,permit,No,Inanim,No
2007,MAG,allow,No,Inanim,No
1995,SPOK,let,No,Anim,Yes
2002,SPOK,permit,No,Anim,No
2000,MAG,permit,Yes,Anim,No
2007,MAG,let,No,Inanim,No
1996,SPOK,permit,No,Inanim,No
2010,SPOK,let,No,Anim,No
2012,SPOK,let,No,Anim,Yes
1992,SPOK,permit,No,Anim,No
1998,SPOK,let,No,Anim,No
2000,SPOK,permit,No,Inanim,No
2000,SPOK,allow,No,Inanim,No
1996,SPOK,allow,Yes,Anim,No
1992,MAG,permit,No,Inanim,No
2006,MAG,let,No,Anim,Yes
1991,MAG,allow,No,Inanim,No
1990,SPOK,permit,No,Inanim,No
2011,SPOK,let,No,Anim,No
2003,MAG,let,No,Anim,Yes
1992,MAG,permit,No,Inanim,No
1991,SPOK,permit,No,Inanim,No
2009,MAG,let,No,Anim,No
1999,SPOK,let,No,Anim,Yes
2006,SPOK,let,No,Anim,Yes
1992,MAG,permit,Yes,Anim,No
1997,SPOK,let,No,Anim,Yes
2002,MAG,permit,No,Undef,No
2001,SPOK,let,No,Anim,Yes
2002,MAG,allow,No,Inanim,No
1997,SPOK,permit,Yes,Anim,No
2000,MAG,let,No,Anim,No
2008,SPOK,allow,No,Inanim,No
2001,MAG,permit,No,Anim,No
2004,MAG,allow,No,Inanim,No
2006,SPOK,permit,No,Anim,No
2007,MAG,allow,No,Inanim,No
1992,MAG,permit,No,Inanim,No
2001,MAG,allow,No,Inanim,No
2008,MAG,allow,No,Anim,No
1990,MAG,permit,No,Inanim,No
2001,MAG,let,No,Anim,Yes
2000,MAG,allow,No,Anim,Yes
1998,MAG,allow,No,Inanim,No
1998,MAG,allow,Yes,Anim,No
1998,MAG,allow,No,Inanim,No
1999,SPOK,let,No,Anim,No
2000,MAG,allow,No,Inanim,No
2006,SPOK,let,No,Anim,No
2002,SPOK,allow,No,Anim,No
2010,SPOK,let,No,Anim,Yes
2010,MAG,permit,No,Inanim,No
1999,SPOK,let,No,Anim,Yes
2007,MAG,let,No,Anim,No
2001,SPOK,let,No,Anim,Yes
2001,SPOK,permit,No,Inanim,No
2011,MAG,allow,No,Anim,No
2000,SPOK,allow,No,Anim,No
2002,MAG,let,No,Inanim,No
2003,MAG,allow,No,Inanim,No
2010,MAG,let,No,Anim,No
1994,MAG,permit,No,Inanim,No
2006,MAG,allow,Yes,Anim,No
2000,SPOK,allow,No,Inanim,No
1996,MAG,allow,No,Inanim,No
2011,SPOK,allow,No,Inanim,No
1990,SPOK,let,No,Anim,Yes
1995,SPOK,let,No,Anim,Yes
2004,SPOK,permit,No,Inanim,No
2006,SPOK,allow,No,Inanim,No
1997,MAG,allow,No,Anim,No
1998,SPOK,allow,No,Inanim,No
1991,MAG,let,No,Undef,No
1990,MAG,permit,Yes,Anim,No
2002,SPOK,allow,No,Anim,No
1994,SPOK,let,No,Anim,Yes
1993,SPOK,allow,No,Anim,No
1990,SPOK,let,No,Anim,Yes
2007,MAG,permit,No,Inanim,No
1998,MAG,allow,No,Inanim,No
2005,SPOK,let,No,Anim,Yes
1993,SPOK,let,No,Anim,Yes
1994,SPOK,let,No,Anim,No
2001,MAG,allow,No,Inanim,No
2003,MAG,allow,No,Inanim,No
1996,MAG,permit,No,Undef,No
2007,SPOK,allow,No,Inanim,No
2003,SPOK,let,No,Anim,Yes
1991,MAG,let,No,Anim,No
2004,SPOK,allow,No,Anim,No
2011,MAG,allow,No,Inanim,No
2004,SPOK,allow,No,Anim,No
2007,SPOK,let,No,Anim,No
2002,MAG,let,No,Anim,No
2004,SPOK,permit,No,Inanim,No
2011,SPOK,let,No,Anim,Yes
1995,SPOK,permit,No,Inanim,No
1994,MAG,allow,No,Inanim,No
2005,MAG,let,Yes,Anim,Yes
1991,SPOK,let,No,Anim,Yes
2002,MAG,allow,No,Inanim,No
2010,SPOK,let,No,Anim,Yes
2001,SPOK,permit,No,Undef,No
1996,MAG,permit,No,Inanim,No
2006,MAG,permit,No,Anim,No
2010,SPOK,permit,No,Anim,No
2000,SPOK,allow,No,Inanim,No
1993,MAG,permit,No,Inanim,No
2010,MAG,let,No,Anim,No
2002,MAG,permit,No,Inanim,No
2007,SPOK,let,No,Anim,Yes
2004,SPOK,permit,No,Inanim,No
1996,MAG,permit,Yes,Anim,No
1995,SPOK,allow,No,Anim,No
1995,SPOK,let,No,Anim,Yes
1995,SPOK,permit,Yes,Anim,No
1991,SPOK,permit,Yes,Anim,No
2005,MAG,permit,No,Undef,No
2001,MAG,allow,No,Inanim,No
1998,MAG,allow,No,Undef,No
2006,MAG,allow,No,Inanim,No
1999,SPOK,permit,No,Anim,No
1997,MAG,permit,No,Inanim,No
1995,SPOK,permit,Yes,Undef,No
1993,MAG,permit,No,Inanim,No
1998,MAG,allow,No,Anim,No
2001,SPOK,allow,No,Anim,No
1997,MAG,let,No,Anim,No
1994,SPOK,allow,No,Inanim,No
2004,MAG,let,No,Undef,No
1992,MAG,let,No,Anim,No
2011,SPOK,permit,No,Undef,No
1999,SPOK,permit,No,Inanim,No
1999,MAG,allow,No,Inanim,No
2008,SPOK,let,No,Anim,Yes
1993,SPOK,allow,No,Anim,No
1999,SPOK,allow,No,Anim,No
1999,SPOK,let,No,Anim,Yes
2001,SPOK,let,No,Anim,Yes
2004,MAG,allow,No,Inanim,No
2007,MAG,permit,No,Inanim,No
2002,SPOK,allow,No,Inanim,No
2001,SPOK,let,No,Anim,No
2007,SPOK,permit,No,Inanim,No
1994,SPOK,let,No,Anim,Yes
1999,SPOK,permit,Yes,Anim,No
1994,SPOK,allow,No,Inanim,No
2007,SPOK,let,No,Anim,Yes
2000,SPOK,allow,No,Anim,No
1990,MAG,permit,Yes,Anim,No
1997,MAG,permit,No,Inanim,No
1995,MAG,let,Yes,Anim,No
2012,MAG,let,No,Anim,Yes
1996,MAG,permit,No,Inanim,No
1999,SPOK,permit,No,Inanim,No
1993,SPOK,let,No,Anim,No
2007,SPOK,permit,No,Inanim,No
2009,SPOK,let,No,Anim,Yes
2008,MAG,permit,No,Inanim,No
1991,MAG,permit,No,Inanim,No
2011,MAG,permit,No,Inanim,No
1991,MAG,allow,No,Inanim,No
1992,SPOK,permit,No,Undef,No
2009,SPOK,allow,Yes,Inanim,No
2011,SPOK,allow,No,Inanim,No
1996,MAG,let,No,Anim,Yes
2007,MAG,let,Yes,Inanim,No
1992,MAG,let,No,Anim,No
2010,MAG,let,No,Anim,No
1999,SPOK,let,No,Anim,Yes
1998,MAG,allow,No,Undef,No
1994,SPOK,allow,Yes,Anim,No
1994,SPOK,let,No,Anim,Yes
2003,SPOK,let,No,Anim,Yes
1999,SPOK,let,No,Anim,Yes
2007,SPOK,let,No,Anim,No
2005,MAG,allow,Yes,Inanim,No
1992,MAG,let,No,Anim,Yes
1997,SPOK,let,No,Anim,Yes
1996,SPOK,let,No,Anim,Yes
2005,MAG,permit,No,Anim,No
1992,MAG,permit,No,Inanim,No
1999,MAG,permit,No,Inanim,No
2002,MAG,allow,No,Inanim,No
2004,MAG,let,Yes,Anim,No
2003,MAG,permit,No,Anim,No
1996,MAG,allow,No,Anim,No
2010,MAG,let,No,Anim,Yes
1996,MAG,permit,Yes,Inanim,No
2012,SPOK,allow,No,Inanim,No
2004,SPOK,let,No,Anim,No
1991,SPOK,allow,No,Anim,No
1999,SPOK,let,No,Anim,Yes
2005,MAG,permit,No,Anim,No
2006,MAG,allow,No,Anim,No
1992,MAG,let,No,Anim,No
2001,SPOK,let,No,Anim,Yes
1992,SPOK,permit,No,Inanim,No
2001,SPOK,let,No,Anim,Yes
2003,SPOK,allow,No,Inanim,No
2005,MAG,let,No,Anim,No
2005,MAG,permit,No,Inanim,No
2008,MAG,let,No,Anim,No
2011,MAG,let,No,Anim,No
1994,SPOK,permit,Yes,Inanim,No
2002,MAG,let,No,Anim,Yes
2004,SPOK,allow,No,Inanim,No
1997,SPOK,permit,No,Anim,No
